Unidad Primaria de Muestreo,Vivienda seleccionada,Consecutivo del hogar en la vivienda,Consecutivo del residente habitual miembro del hogar,,Clave Llave única para cada migrante internacional delcalrado en el hogar en la base (UPM+VIV_SEL+HOGAR+N_REN),Clave única de identificación del hogar (UPM+VIV_SEL+ HOGAR),Clave única de identificación de la vivienda (UPM+VIV_SEL+HOGAR),Clave de Entidad Federativa de levantamiento de la información,Clave de tamaño de localidad,"P4.4 Cuando (NOMBRE) se fue la última vez, ¿vivía con ustedes?",P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?,P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otra entidad),P4.5 ¿En qué estado de la República Mexicana o país nació (NOMBRE)?  (Otro país),P4.6 (NOMBRE) es hombre o mujer,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar?,P4.7 ¿Qué es (NOMBRE) de la jefa o jefe del hogar? (Otro parentesco),"P4.8 La última vez que (NOMBRE) se fue, ¿cuántos años cumplidos tenía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía?","P4.9 La última vez que (NOMBRE) se fue a vivir a otro país, ¿en qué estado de la República Mexicana vivía? (Otra entidad)",P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Mes),P4.10 ¿En qué mes y año se fue a vivir (NOMBRE) a otro país la última vez? (Año),P4.11 ¿A qué país se fue (NOMBRE) la última vez?,P4.11 ¿A qué país se fue (NOMBRE) la última vez? (Otro país),P4.12 ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)?,P4.12C ¿A qué estado de EUA llegó (NOMBRE) a vivir (la última vez)? (Otro estado),"P4.13 Cuando (NOMBRE) se fue la última vez, ¿qué tipo de documento llevaba?",P4.14 ¿Cuál fue el motivo principal por el que (NOMBRE) se fue la última vez?,P4.14A ¿Se fue a buscar trabajo? ¿Con trabajo?,,P4.15 ¿En qué país vive actualmente (NOMBRE)?,P4.15 ¿En qué país vive actualmente (NOMBRE)? (Otro país),P4.16 ¿En qué estado de EUA vive actualmente (NOMBRE)?,,"P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía?","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro estado)","P4.17 Cuando (NOMBRE) se regresó a México, ¿en qué estado de EUA o país vivía? (Otro país)",P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Mes),P4.18 ¿En qué mes y año regresó (NOMBRE) a vivir a la República Mexicana? (Año),P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó?,P4.19 ¿Cuál fue el motivo principal por el que (NOMBRE) se regresó? (Otro motivo),P4.20 (NOMBRE) actualmente forma parte de este hogar?,P4.20 Número de renglón en la lista de personas,Factor de expansión a nivel vivienda,"Tamaño de localidad, segunda agrupación","Tamaño de localidad, tercera agrupación",P4.8.AG1 Edad al emigrar ( grupos quinquenales),P4.8.AG2 Edad al emigrar por grandes grupos,Condición de tenencia de documento para ingresar a EUA,Condición de retorno a México,Duración de migración (en meses),Duración de migración (agrupado),Estrato sociodemográfico,Estrato de diseño muestral,Unidad Primaria de Muestreo
1605374,20,1,1,160537000000.0,,1605374201,160537420,Michoacán de Ocampo,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Michoacán de Ocampo,,Hombre,Esposa(o) o compañera(o),,38,"Aquí, en este estado",,Enero,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,WASHINGTON,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,WASHINGTON,,,,,,,,,,319,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Con documento,No retornó,,,Bajo,292,7642
3260684,2,1,1,326068000000.0,,3260684021,326068402,Zacatecas,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Zacatecas,,Hombre,Esposa(o) o compañera(o),,33,"Aquí, en este estado",,Marzo,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,,,,,,,,,,135,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,30 a 34 años,30 a 59 años,Sin documento,No retornó,,,Medio bajo,608,15217
204563,5,1,1,20456305101.0,20456305103.0,204563051,20456305,Baja California,Localidad de 100 000 y más habitantes,Sí,En Estados Unidos de América,,,Mujer,Hija(o),,19,"Aquí, en este estado",,Enero,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Es ciudadano(a) estadounidense,Buscar trabajo o trabajar,,,2,,,,California,,,Enero,2018.0,Reunirse con la familia,,Sí,3.0,282,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,Con documento,Retornó,12.0,De un año a 3 años,Medio alto,15,889
2605960,4,1,1,260596000000.0,,2605960041,260596004,Sonora,Localidad de 15 000 a 99 999 habitantes,Sí,En Estados Unidos de América,,,Hombre,Esposa(o) o compañera(o),,29,"Aquí, en este estado",,Octubre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Es ciudadano(a) estadounidense,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,206,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Medio alto,471,12551
2806124,3,1,1,280612000000.0,280612000000.0,2806124031,280612403,Tamaulipas,Localidad de 100 000 y más habitantes,Sí,En Estados Unidos de América,,,Hombre,Jefa(e),,59,En otro estado,Puebla,Agosto,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Es ciudadano(a) estadounidense,Buscar trabajo o trabajar,,,2,,,,Texas,,,Junio,2018.0,Reunirse con la familia,,Sí,1.0,369,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,55 a 59 años,30 a 59 años,Con documento,Retornó,22.0,De un año a 3 años,Alto,495,13369
2503804,4,1,1,250380000000.0,,2503804041,250380404,Sinaloa,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sinaloa,,Mujer,Hija(o),,30,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,2,,,,Texas,,,No sabe,9999.0,Reunirse con la familia,,No,,235,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,30 a 34 años,30 a 59 años,Con documento,Retornó,99.0,No especificado,Medio bajo,436,11906
2801528,2,1,1,280153000000.0,,2801528021,280152802,Tamaulipas,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Tamaulipas,,Hombre,Hija(o),,22,"Aquí, en este estado",,Marzo,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Visa de turista,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,312,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,504,13024
1102942,3,1,1,110294000000.0,,1102942031,110294203,Guanajuato,Localidad de 100 000 y más habitantes,Sí,En Estados Unidos de América,,,Mujer,Hija(o),,21,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Es ciudadano(a) estadounidense,Estudiar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,465,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio alto,174,5409
805989,3,1,1,80598903101.0,,805989031,80598903,Chihuahua,Localidad de 100 000 y más habitantes,Sí,En otro estado,Estado de México,,Hombre,Esposa(o) o compañera(o),,49,"Aquí, en este estado",,Mayo,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Visa de turista,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,431,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,45 a 49 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,128,3847
503375,2,1,1,50337502101.0,50337502101.0,503375021,50337502,Coahuila de Zaragoza,Localidad de 100 000 y más habitantes,Sí,En otro estado,San Luis Potosí,,Mujer,Jefa(e),,41,"Aquí, en este estado",,Noviembre,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,NEVADA,Visa de turista,Reunirse con la familia,,,2,,,,Otro estado,NEVADA,,Enero,2016.0,Otro motivo,Estudiar o trabajar en México,Sí,1.0,307,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,40 a 44 años,30 a 59 años,Con documento,Retornó,2.0,Menos de un año,Medio bajo,65,2331
3101332,1,1,1,310133000000.0,,3101332011,310133201,Yucatán,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Yucatán,,Hombre,Hija(o),,26,"Aquí, en este estado",,Febrero,2018,Otro país,CANADA,,,,Buscar trabajo o trabajar,,,2,,,,Otro país,,CANADA,Junio,2018.0,Otro motivo,Vencimiento de autorización migratoria,No,,171,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,,Retornó,4.0,Menos de un año,Medio alto,583,14597
2807548,18,1,1,280755000000.0,280755000000.0,2807548181,280754818,Tamaulipas,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Tamaulipas,,Mujer,Hija(o),,16,"Aquí, en este estado",,Agosto,2016,Otro país,REPUBLICA FRANCESA,,,,Estudiar,,,2,,,,Otro país,,PAIS NO ESPECIFICADO,Julio,2017.0,Terminó estudios,,Sí,3.0,318,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,,Retornó,11.0,Menos de un año,Medio alto,515,13478
2807548,19,1,1,280755000000.0,280755000000.0,2807548191,280754819,Tamaulipas,Localidad de 15 000 a 99 999 habitantes,Sí,"Aquí, en este estado",Tamaulipas,,Hombre,Jefa(e),,40,"Aquí, en este estado",,Octubre,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Visa de turista,Buscar trabajo o trabajar,,,2,,,,Texas,,,Diciembre,2016.0,Reunirse con la familia,,Sí,1.0,318,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,40 a 44 años,30 a 59 años,Con documento,Retornó,2.0,Menos de un año,Medio alto,515,13478
1001566,3,1,1,100157000000.0,,1001566031,100156603,Durango,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Esposa(o) o compañera(o),,28,"Aquí, en este estado",,Agosto,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,LOUISIANA,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,LOUISIANA,,,,,,,,,,139,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Medio alto,163,5042
1002059,5,1,1,100206000000.0,,1002059051,100205905,Durango,Localidad de 100 000 y más habitantes,Sí,En Estados Unidos de América,,,Mujer,Otro,Hijastra o hijastro,27,"Aquí, en este estado",,Agosto,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,Permiso para residir,Reunirse con la familia,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,,,,,,,,,,141,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,162,5126
1600464,1,1,1,160046000000.0,160046000000.0,1600464011,160046401,Michoacán de Ocampo,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Michoacán de Ocampo,,Mujer,Hija(o),,25,"Aquí, en este estado",,Fecha de emigración no especificada,9999,Otro país,CANADA,,,,Buscar trabajo o trabajar,,,2,,,,Otro país,,CANADA,No sabe,9999.0,Falta de trabajo,,Sí,3.0,475,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,,Retornó,99.0,No especificado,Alto,278,7428
600948,2,1,1,60094802101.0,,600948021,60094802,Colima,Localidad de 100 000 y más habitantes,Sí,En otro estado,Jalisco,,Mujer,Otro,Sobrina o sobrino,46,"Aquí, en este estado",,Marzo,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Visa de turista,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,72,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,45 a 49 años,30 a 59 años,Con documento,No retornó,,,Medio alto,95,2960
1001953,3,1,1,100195000000.0,,1001953031,100195303,Durango,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Durango,,Hombre,Jefa(e),,57,"Aquí, en este estado",,Fecha de emigración no especificada,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,136,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,55 a 59 años,30 a 59 años,Con documento,No retornó,,,Medio alto,163,5108
762318,16,1,1,76231816101.0,,762318161,76231816,Chiapas,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Chiapas,,Hombre,Esposa(o) o compañera(o),,22,"Aquí, en este estado",,Agosto,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,435,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Sin documento,No retornó,,,Bajo,126,3445
3100305,5,1,1,310031000000.0,,3100305051,310030505,Yucatán,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Yucatán,,Mujer,Esposa(o) o compañera(o),,39,"Aquí, en este estado",,Noviembre,2017,Otro país,CANADA,,,,Buscar trabajo o trabajar,,,3,CANADA,,,,,,,,,,,,161,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,35 a 39 años,30 a 59 años,,No retornó,,,Medio alto,583,14440
1860368,8,1,1,186037000000.0,,1860368081,186036808,Nayarit,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Nayarit,,Hombre,Esposa(o) o compañera(o),,23,"Aquí, en este estado",,Junio,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,129,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,326,8583
1860368,15,1,1,186037000000.0,,1860368151,186036815,Nayarit,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Nayarit,,Hombre,Esposa(o) o compañera(o),,44,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,Permiso para trabajar (green card),Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,CAROLINA DEL NORTE,,,,,,,,,,129,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,40 a 44 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,326,8583
2200777,1,1,1,220078000000.0,,2200777011,220077701,Querétaro,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Querétaro,,Hombre,Esposa(o) o compañera(o),,20,"Aquí, en este estado",,Agosto,2015,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Nueva York,,No sabe,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Nueva York,,,,,,,,,,,99,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,No sabe,No retornó,,,Medio alto,383,10049
1200287,2,1,1,120029000000.0,,1200287021,120028702,Guerrero,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Guerrero,,Mujer,Hija(o),,25,"Aquí, en este estado",,Marzo,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Ningún documento,Reunirse con la familia,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,292,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Sin documento,No retornó,,,Medio bajo,198,5695
2202595,11,1,1,220260000000.0,220260000000.0,2202595111,220259511,Querétaro,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Querétaro,,Hombre,Hija(o),,44,"Aquí, en este estado",,Septiembre,2017,Otro país,CANADA,,,,Buscar trabajo o trabajar,,,2,,,,Otro país,,CANADA,Noviembre,2017.0,Falta de trabajo,,Sí,2.0,148,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,40 a 44 años,30 a 59 años,,Retornó,2.0,Menos de un año,Medio bajo,394,10346
2202595,14,1,1,220260000000.0,220260000000.0,2202595141,220259514,Querétaro,Localidad de 2 500 a 14 999 habitantes,Sí,"Aquí, en este estado",Querétaro,,Hombre,Jefa(e),,42,"Aquí, en este estado",,Septiembre,2013,Otro país,CANADA,,,,Buscar trabajo o trabajar,,,2,,,,Otro país,,CANADA,Junio,2014.0,Falta de trabajo,,Sí,1.0,148,Localidad Urbana (2 500 y más habitantes),Localidad menor de 15 000 habitantes,40 a 44 años,30 a 59 años,,Retornó,9.0,Menos de un año,Medio bajo,394,10346
2801265,4,1,1,280127000000.0,280127000000.0,2801265041,280126504,Tamaulipas,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Tamaulipas,,Hombre,Hija(o),,26,"Aquí, en este estado",,Marzo,2016,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Visa de turista,Buscar trabajo o trabajar,,,2,,,,Texas,,,Abril,2016.0,Le deportaron (regresaron),,Sí,3.0,247,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,Retornó,1.0,Menos de un año,Medio bajo,504,12998
1800059,5,1,1,180006000000.0,180006000000.0,1800059051,180005905,Nayarit,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Nayarit,,Hombre,Hija(o),,18,"Aquí, en este estado",,Octubre,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,TENNESSEE,Es ciudadano(a) estadounidense,Estudiar,,,2,,,,Otro estado,TENNESSEE,,Agosto,2018.0,Otro motivo,Estudiar o trabajar en México,Sí,3.0,104,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,Con documento,Retornó,10.0,Menos de un año,Medio alto,317,8252
2660643,20,1,1,266064000000.0,266064000000.0,2660643201,266064320,Sonora,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Sonora,,Hombre,Jefa(e),,37,"Aquí, en este estado",,Febrero,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,WASHINGTON,Visa de turista,Buscar trabajo o trabajar,,,2,,,,Otro estado,WASHINGTON,,Noviembre,2017.0,Reunirse con la familia,,Sí,1.0,187,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,35 a 39 años,30 a 59 años,Con documento,Retornó,9.0,Menos de un año,Medio bajo,477,12594
2804028,3,1,1,280403000000.0,,2804028031,280402803,Tamaulipas,Localidad de 100 000 y más habitantes,Sí,En Estados Unidos de América,,,Mujer,Hija(o),,16,"Aquí, en este estado",,Julio,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Es ciudadano(a) estadounidense,Estudiar,,,2,,,,Texas,,,Junio,2018.0,Terminó estudios,,No,,294,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,Con documento,Retornó,11.0,Menos de un año,Medio alto,501,13201
600427,4,1,1,60042704101.0,60042704103.0,600427041,60042704,Colima,Localidad de 100 000 y más habitantes,Sí,En otro estado,Jalisco,,Mujer,Hija(o),,28,"Aquí, en este estado",,Enero,2014,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Visa de turista,Buscar trabajo o trabajar,,,2,,,,California,,,Mayo,2015.0,Reunirse con la familia,,Sí,3.0,73,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,Retornó,16.0,De un año a 3 años,Alto,96,2765
1700802,5,1,1,170080000000.0,170080000000.0,1700802051,170080205,Morelos,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Morelos,,Hombre,Hija(o),,21,"Aquí, en este estado",,Agosto,2017,Otro país,REPUBLICA DE COLOMBIA,,,,Estudiar,,,2,,,,Otro país,,REPUBLICA DE COLOMBIA,Junio,2018.0,Terminó estudios,,Sí,4.0,177,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,,Retornó,10.0,Menos de un año,Medio bajo,296,7843
100443,2,1,2,10044302102.0,10044302102.0,100443021,10044302,Aguascalientes,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Hombre,Hija(o),,23,"Aquí, en este estado",,Marzo,2014,Otro país,ARGENTINA,,,,Estudiar,,,2,,,,Otro país,,ANGUILA,Septiembre,2014.0,Terminó estudios,,Sí,2.0,111,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,,Retornó,6.0,Menos de un año,Medio alto,2,102
100443,2,1,1,10044302101.0,,100443021,10044302,Aguascalientes,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Aguascalientes,,Mujer,Hija(o),,27,"Aquí, en este estado",,Agosto,2013,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Visa de turista,Estudiar,,,2,,,,Texas,,,Noviembre,2013.0,Reunirse con la familia,,No,,111,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,Con documento,Retornó,3.0,Menos de un año,Medio alto,2,102
2201522,4,1,1,220152000000.0,220152000000.0,2201522041,220152204,Querétaro,Localidad de 100 000 y más habitantes,Sí,En otro estado,Ciudad de México,,Mujer,Hija(o),,15,"Aquí, en este estado",,Agosto,2015,Otro país,REPUBLICA FEDERAL DE ALEMANIA,,,,Estudiar,,,2,,,,Otro país,,REPUBLICA FEDERAL DE ALEMANIA,Enero,2016.0,Terminó estudios,,Sí,2.0,300,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,15 a 19 años,18 a 29 años,,Retornó,5.0,Menos de un año,Alto,384,10184
1800708,5,1,1,180071000000.0,,1800708051,180070805,Nayarit,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Nayarit,,Mujer,Hija(o),,24,"Aquí, en este estado",,Julio,2017,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Illinois,,Visa de turista,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Illinois,ILLINOIS,,,,,,,,,,109,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio alto,317,8394
912044,4,1,1,91204404101.0,91204404103.0,912044041,91204404,Ciudad de México,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Ciudad de México,,Hombre,Hija(o),,39,"Aquí, en este estado",,Julio,2015,Otro país,REINO DE LOS PAISES BAJOS,,,,Buscar trabajo o trabajar,,,2,,,,Otro país,,REINO DE LOS PAISES BAJOS,Agosto,2015.0,Falta de trabajo,,Sí,3.0,742,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,35 a 39 años,30 a 59 años,,Retornó,1.0,Menos de un año,Medio alto,152,4437
1501316,4,1,1,150132000000.0,150132000000.0,1501316041,150131604,Estado de México,Localidad de 100 000 y más habitantes,Sí,En otro estado,Ciudad de México,,Mujer,Hija(o),,26,"Aquí, en este estado",,Agosto,2016,Otro país,BARBADOS,,,,Buscar trabajo o trabajar,,,2,,,,Otro país,,BARBADOS,Diciembre,2017.0,Falta de trabajo,,Sí,3.0,1532,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,25 a 29 años,18 a 29 años,,Retornó,16.0,De un año a 3 años,Medio alto,255,6878
2602033,5,1,1,260203000000.0,,2602033051,260203305,Sonora,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Sonora,,Hombre,Hija(o),,23,"Aquí, en este estado",,Junio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,California,,Visa de turista,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,California,CALIFORNIA,,,,,,,,,,227,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio alto,452,12221
1661411,20,1,1,166141000000.0,,1661411201,166141120,Michoacán de Ocampo,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Michoacán de Ocampo,,Hombre,Jefa(e),,43,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Otro estado,OHIO,Permiso para residir,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Otro estado,OHIO,,,,,,,,,,453,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,40 a 44 años,30 a 59 años,Con documento,No retornó,,,Medio bajo,295,7703
805280,4,1,1,80528004101.0,,805280041,80528004,Chihuahua,Localidad de 100 000 y más habitantes,Sí,"Aquí, en este estado",Chihuahua,,Hombre,Hija(o),,21,"Aquí, en este estado",,Fecha de emigración no especificada,9999,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Texas,,Permiso para residir,Reunirse con la familia,,,1,ESTADOS UNIDOS DE AMERICA,Texas,TEXAS,,,,,,,,,,620,Localidad Urbana (2 500 y más habitantes),Localidad de 15 000 y más habitantes,20 a 24 años,18 a 29 años,Con documento,No retornó,,,Medio bajo,128,3781
762152,14,1,1,76215214101.0,,762152141,76215214,Chiapas,Localidad menor de 2 500 habitantes,Sí,"Aquí, en este estado",Chiapas,,Hombre,Hija(o),,19,"Aquí, en este estado",,Julio,2018,Estados Unidos de América,ESTADOS UNIDOS DE AMERICA,Florida,,Ningún documento,Buscar trabajo o trabajar,,,1,ESTADOS UNIDOS DE AMERICA,Florida,FLORIDA,,,,,,,,,,405,Localidad Rural (menos de 2 500 habitantes),Localidad menor de 15 000 habitantes,15 a 19 años,18 a 29 años,Sin documento,No retornó,,,Bajo,126,3440
